Serial No. (Labelled on tag),EPC ID,Linked Truck Licence Number
390,E28038212000602702ED2400,GAQ4628
391,E28038212000602607C0FCAF,NAR1248
392,E28038212000602607C07B19,CBP7326
393,E28038212000602607C07894,ABO1185
394,E28038212000602607C10868,NCJ7765
395,E28038212000602702ED2740,NBM1986
396,E28038212000602702ED2755,NBS6849
397,E28038212000602702ED23B6,RMX502
398,E28038212000602702ED22D3,NBM2009
399,E28038212000602702ED2619,NAD6682
400,E28038212000602702ED1F5C,NIG2877
401,E28038212000602702ED1D94,ARA7417
402,E28038212000602702ED25F7,CAS9444
403,E28038212000602702ED2473,NGP1687
404,E28038212000602702ED25BF,NGS7663
405,E28038212000602702F33152,NFP8856
406,E28038212000602702ED2ABD,NDM2086
407,E28038212000602607C0FC9C,NAF8322
408,E28038212000602607C1217C,NAR1292
409,E28038212000602702ED24F2,NHB9877
410,E28038212000602702ED2494,NIF2420
411,E28038212000602702ED22E4,AAJ1986
412,E28038212000602607C0F1DE,NEP1836
413,E28038212000602702ED2360,UOS739
414,E28038212000602607C0FC48,NHD1481
415,E28038212000602702ED275F,ABS2456
416,E28038212000602702ED255F,NAM1202
417,E28038212000602702ED2321,NEV4686
418,E28038212000602702ED2647,NDL9142
419,E28038212000602702ED1E80,NEX1970
420,E28038212000602607C12D31,CBQ1030
421,E28038212000602702ED2374,NCK1665
422,E28038212000602702F2DC5F,CBG1080
423,E28038212000602607C0A6A9,ABO1531
424,E28038212000602702ED266B,NDJ5139
425,E28038212000602607C1213A,NHE4078
426,E28038212000602702F2E8ED,CXL386
427,E28038212000602702ED2348,NEO5693
428,E28038212000602607C0FCA5,NIE2536
429,E28038212000602607C09AC8,NBG6684
430,E28038212000602702ED231B,NIF2419
431,E28038212000602702ED26BF,CCB9205
432,E28038212000602607C14F5B,NAO3975
433,E28038212000602702ED29C1,237813214
434,E28038212000602607C0CC7D,AQA6216
435,E28038212000602607C10877,WLQ438
436,E28038212000602702ED268E,NAP6458
437,E28038212000602702ED27C1,NBM3222
438,E28038212000602702ED2314,NBL4310
439,E28038212000602702ED1FE0,NAP6192
440,E28038212000602702ED2324,NBM1263
441,E28038212000602607C0D71F,ABI8679
442,E28038212000602702F3560A,NIK4168
443,E28038212000602607C0A817,NBM3224
444,E28038212000602702ED259B,NCK7755
445,E28038212000602702F2E8AB,CBP9158
446,E28038212000602702ED2317,NFY6455
447,E28038212000602607C0CDC7,NAO3971
448,E28038212000602702ED26F1,CBQ5203
449,E28038212000602702ED25BD,NBE7494
450,E28038212000602702ED213F,NDD6465
451,E28038212000602702F33DC3,CBP1311
452,E28038212000602702ED2244,ABT1739
453,E28038212000602607C091A7,NIL4788
454,E28038212000602702ED20B8,NAM1207
455,E28038212000602702ED2150,NFL1186
456,E28038212000602607C0C15C,NBQ5728
457,E28038212000602702ED270A,NEI3229
458,E28038212000602702ED1CDC,NAD6687
459,E28038212000602702ED274E,AAN7066
460,E28038212000602702ED24C2,NAH7158
461,E28038212000602702ED2695,NFY2383
462,E28038212000602702ED245A,NHE4852
463,E28038212000602702F33E12,NEX1971
464,E28038212000602607C0C161,NEG5387
465,E28038212000602607C11676,NIN6558
466,E28038212000602702ED20FF,CBJ7898
467,E28038212000602702ED2396,NDL7352
468,E28038212000602702ED2726,NFT3331
469,E28038212000602702ED1CF0,NAQ3431
470,E28038212000602607C07010,RHC983
471,E28038212000602607C04FE9,CXL394
472,E28038212000602702ED2481,NID7486
473,E28038212000602607C143BB,CCB7165
474,E28038212000602702ED2539,NBE9476
475,E28038212000602702ED205F,NFS9021
476,E28038212000602607C17254,ABO8730
477,E28038212000602702ED1FD7,CAK7293
478,E28038212000602607C15AD0,AAQ9704
479,E28038212000602702ED1FCF,NCI2473
480,E28038212000602607C0CC22,NCI9455
481,E28038212000602607C1725A,CAH6608
482,E28038212000602702ED25DE,NBQ5730
483,E28038212000602607C091AA,NHE4862
484,E28038212000602702ED2345,NIK4260
485,E28038212000602702ED2795,NFT1152
486,E28038212000602702ED24DE,NEP1591
487,E28038212000602702ED2329,NAT3062
488,E28038212000602702ED25AD,NCE1406
489,E28038212000602702ED232A,NIB4198
490,E28038212000602702ED21C0,AAQ7694
491,E28038212000602607C11394,CAK4701
492,E28038212000602702ED2108,UCU667
493,E28038212000602702ED22DA,NBK6425
494,E28038212000602702ED24C6,NGA9181
495,E28038212000602607C11FE8,CAD5097
496,E28038212000602702ED213B,NIL4534
497,E28038212000602702ED23EB,NDZ5794
498,E28038212000602702ED2571,NIL4784
499,E28038212000602702ED25CA,NBS6907
500,E28038212000602702ED25D9,NBH2499
501,E28038212000602702ED22ED,NDJ5136
502,E28038212000602607C1086B,NEG2451
503,E28038212000602702ED2033,NAK9390
504,E28038212000602702ED2446,NBB1832
505,E28038212000602607C0FB05,NAT3058
506,E28038212000602702ED1F93,NEJ1095
507,E28038212000602702ED1D7C,NAM1184
508,E28038212000602702ED24A5,ABO8728
509,E28038212000602607C0BFC9,CBB2011
510,E28038212000602607C09D71,NAT3064
511,E28038212000602607C037A8,CAL9661
512,E28038212000602702ED260D,CCB8892
513,E28038212000602702ED265A,CAD6276
514,E28038212000602702ED22A9,NIK4799
515,E28038212000602607C083A8,NEJ2351
516,E28038212000602702ED2475,NAM1198
517,E28038212000602702F33DC1,NAT3072
518,E28038212000602702ED1D70,NAT3070
519,E28038212000602702ED2064,NGP6835
520,E28038212000602702ED2786,NAM1192
521,E28038212000602607C17C90,NAM1193
522,E28038212000602702F2E8EF,ABO8976
523,E28038212000602702ED2752,CBQ9904
524,E28038212000602702ED2691,ABT1736
525,E28038212000602702ED22B7,NCZ6916
526,E28038212000602702ED235B,NAE4406
527,E28038212000602607C108BD,NDD7008
528,E28038212000602607C11674,CBS5209
529,E28038212000602702ED209B,CAN4851
530,E28038212000602702F2DC56,NAT3071
531,E28038212000602702ED22FA,XAN773
532,E28038212000602607C0BFE6,NIO4009
533,E28038212000602702ED22B3,NFY3825
534,E28038212000602702ED2736,ABO1535
